Wavelength (nm),Unnamed: 1,Unnamed: 2,Unnamed: 3,THYLTHA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,THYRTHA,Unnamed: 10,Unnamed: 11,Unnamed: 12,Wavelength (nm)2,Abs
,,,,,,,,,,,,,690.0,315458477.0
,,,,,,,,,,,,,6895999756.0,328486234.0
,,,,,,,,,,,,,6892000122.0,341624767.0
,,,,,,,,,,,,,6887999878.0,355126441.0
,,,,,,,,,,,,,6884000244.0,36892271.0
,,,,,,,,,,,,,688.0,382174403.0
,,,,,,,,,,,,,6875999756.0,395298332.0
,,,,,,,,,,,,,6872000122.0,408630699.0
,,,,,,,,,,,,,6867999878.0,42076543.0
,,,,,,,,,,,,,6864000244.0,432890058.0
,,,,,,,,,,,,,686.0,444105059.0
,,,,,,,,,,,,,6855999756.0,455932319.0
,,,,,,,,,,,,,6852000122.0,466056138.0
,,,,,,,,,,,,,6847999878.0,476052672.0
,,,,,,,,,,,,,6844000244.0,485376626.0
,,,,,,,,,,,,,684.0,49281019.0
,,,,,,,,,,,,,6835999756.0,50199759.0
,,,,,,,,,,,,,6832000122.0,50731951.0
,,,,,,,,,,,,,6827999878.0,513447225.0
,,,,,,,,,,,,,6824000244.0,519018114.0
,,,,,,,,,,,,,682.0,522601247.0
,,,,,,,,,,,,,6815999756.0,526483178.0
,,,,,,,,,,,,,6812000122.0,529686511.0
,,,,,,,,,,,,,6807999878.0,53297466.0
,,,,,,,,,,,,,6804000244.0,534023762.0
,,,,,,,,,,,,,680.0,535756409.0
,,,,,,,,,,,,,6795999756.0,536823213.0
,,,,,,,,,,,,,6792000122.0,537089109.0
,,,,,,,,,,,,,6787999878.0,536200106.0
,,,,,,,,,,,,,6784000244.0,536981821.0
,,,,,,,,,,,,,678.0,537023187.0
,,,,,,,,,,,,,6775999756.0,53609097.0
,,,,,,,,,,,,,6772000122.0,535042465.0
,,,,,,,,,,,,,6767999878.0,533898532.0
,,,,,,,,,,,,,6764000244.0,532530725.0
,,,,,,,,,,,,,676.0,530953586.0
,,,,,,,,,,,,,6755999756.0,530697465.0
,,,,,,,,,,,,,6752000122.0,529508174.0
,,,,,,,,,,,,,6747999878.0,52765578.0
,,,,,,,,,,,,,6744000244.0,526518643.0
,,,,,,,,,,,,,674.0,525025964.0
,,,,,,,,,,,,,6735999756.0,523632348.0
,,,,,,,,,,,,,6732000122.0,520945668.0
,,,,,,,,,,,,,6727999878.0,518529832.0
,,,,,,,,,,,,,6724000244.0,517746389.0
,,,,,,,,,,,,,672.0,515169084.0
,,,,,,,,,,,,,6715999756.0,513615131.0
,,,,,,,,,,,,,6712000122.0,511900902.0
,,,,,,,,,,,,,6707999878.0,507543266.0
,,,,,,,,,,,,,6704000244.0,505103946.0
,,,,,,,,,,,,,670.0,501578867.0
,,,,,,,,,,,,,6695999756.0,4980492.0
,,,,,,,,,,,,,6692000122.0,495602459.0
,,,,,,,,,,,,,6687999878.0,492194861.0
,,,,,,,,,,,,,6684000244.0,488634497.0
,,,,,,,,,,,,,668.0,485173762.0
,,,,,,,,,,,,,6675999756.0,481691361.0
,,,,,,,,,,,,,6672000122.0,477588028.0
,,,,,,,,,,,,,6667999878.0,473931611.0
,,,,,,,,,,,,,6664000244.0,468117058.0
,,,,,,,,,,,,,666.0,464872301.0
,,,,,,,,,,,,,6655999756.0,460371435.0
,,,,,,,,,,,,,6652000122.0,456286252.0
,,,,,,,,,,,,,6647999878.0,451094359.0
,,,,,,,,,,,,,6644000244.0,447493702.0
,,,,,,,,,,,,,664.0,442815512.0
,,,,,,,,,,,,,6635999756.0,438732594.0
,,,,,,,,,,,,,6632000122.0,434287667.0
,,,,,,,,,,,,,6627999878.0,429499388.0
,,,,,,,,,,,,,6624000244.0,425559342.0
,,,,,,,,,,,,,662.0,421042442.0
,,,,,,,,,,,,,6615999756.0,417239726.0
,,,,,,,,,,,,,6612000122.0,413228244.0
,,,,,,,,,,,,,6607999878.0,409341067.0
,,,,,,,,,,,,,6604000244.0,405924946.0
,,,,,,,,,,,,,660.0,402517289.0
,,,,,,,,,,,,,6595999756.0,399003595.0
,,,,,,,,,,,,,6592000122.0,394937486.0
,,,,,,,,,,,,,6587999878.0,393167794.0
,,,,,,,,,,,,,6584000244.0,390343159.0
,,,,,,,,,,,,,658.0,387866497.0
,,,,,,,,,,,,,6575999756.0,385961324.0
,,,,,,,,,,,,,6572000122.0,38331148.0
,,,,,,,,,,,,,6567999878.0,38173756.0
,,,,,,,,,,,,,6564000244.0,380547136.0
,,,,,,,,,,,,,656.0,37903291.0
,,,,,,,,,,,,,6555999756.0,378001124.0
,,,,,,,,,,,,,6552000122.0,377219945.0
,,,,,,,,,,,,,6547999878.0,376123369.0
,,,,,,,,,,,,,6544000244.0,374965936.0
,,,,,,,,,,,,,654.0,373823136.0
,,,,,,,,,,,,,6535999756.0,373843163.0
,,,,,,,,,,,,,6532000122.0,373046488.0
,,,,,,,,,,,,,6527999878.0,372309029.0
,,,,,,,,,,,,,6524000244.0,371784002.0
