Wavelength (nm);Abs_HP;Wavelength (nm);Abs_AT
526;0,033862572;576;0,088044629
525,5999756;0,034260198;575,5999756;0,086904511
525,2000122;0,035006259;575,2000122;0,086228646
524,7999878;0,035631917;574,7999878;0,084982768
524,4000244;0,035966966;574,4000244;0,083704285
524;0,036632594;574;0,082957953
523,5999756;0,037425548;573,5999756;0,081789434
523,2000122;0,03794542;573,2000122;0,080645427
522,7999878;0,038614571;572,7999878;0,079650223
522,4000244;0,03946371;572,4000244;0,078701034
522;0,040174589;572;0,077447362
521,5999756;0,040917408;571,5999756;0,076580964
521,2000122;0,041858736;571,2000122;0,075730465
520,7999878;0,04274904;570,7999878;0,074844047
520,4000244;0,043810759;570,4000244;0,073803239
520;0,04481478;570;0,072735265
519,5999756;0,045890201;569,5999756;0,07158196
519,2000122;0,04686949;569,2000122;0,070789203
518,7999878;0,047799289;568,7999878;0,069791652
518,4000244;0,049032893;568,4000244;0,06892921
518;0,050200205;568;0,067996457
517,5999756;0,051326673;567,5999756;0,067239642
517,2000122;0,052476984;567,2000122;0,066186465
516,7999878;0,053900704;566,7999878;0,06535098
516,4000244;0,055272747;566,4000244;0,06469357
516;0,056565713;566;0,063694224
515,5999756;0,057949644;565,5999756;0,063210279
515,2000122;0,059704117;565,2000122;0,062472306
514,7999878;0,061032437;564,7999878;0,061868694
514,4000244;0,062518939;564,4000244;0,061320826
514;0,064101413;564;0,060466938
513,5999756;0,066194788;563,5999756;0,05989876
513,2000122;0,067577071;563,2000122;0,059334114
512,7999878;0,069456846;562,7999878;0,059002794
512,4000244;0,071128786;562,4000244;0,058286376
512;0,073145241;562;0,057833761
511,6000061;0,075114958;561,5999756;0,05713468
511,1999817;0,077135354;561,2000122;0,05685664
510,7999878;0,079139538;560,7999878;0,05658491
510,3999939;0,081174113;560,4000244;0,056266993
510;0,083450712;560;0,055810027
509,6000061;0,085683405;559,5999756;0,055671673
509,1999817;0,088027097;559,2000122;0,055216629
