wavelength_fluor;em_rt_hp;wavelength_abs;abs_hp
;;493,1999817;0,442201614
;;492,7999878;0,445343643
;;492,3999939;0,447940677
;;492;0,450009465
;;491,6000061;0,452479661
;;491,1999817;0,45448488
;;490,7999878;0,456457734
;;490,3999939;0,459168196
;;490;0,460644573
;;489,6000061;0,462466031
;;489,1999817;0,463830471
;;488,7999878;0,46518594
;;488,3999939;0,467752844
;;488;0,468373805
;;487,6000061;0,469388157
;;487,1999817;0,470611125
;;486,7999878;0,471617699
;;486,3999939;0,472447008
;;486;0,473105729
;;485,6000061;0,473820865
;;485,1999817;0,475037664
;;484,7999878;0,475417346
;;484,3999939;0,475410521
;;484;0,477132201
;;483,6000061;0,477026671
;;483,1999817;0,478313804
;;482,7999878;0,47796157
;;482,3999939;0,478219509
;;482;0,479786962
;;481,6000061;0,47888124
;;481,1999817;0,479985297
;;480,7999878;0,480858833
;;480,3999939;0,48148948
;;480;0,481907725
;;479,6000061;0,482823908
;;479,1999817;0,483276218
;;478,7999878;0,484555572
;;478,3999939;0,485252649
;;478;0,486016572
;;477,6000061;0,486786276
;;477,1999817;0,487700105
;;476,7999878;0,487974495
;;476,3999939;0,489624113
;;476;0,490609795
;;475,6000061;0,491479754
;;475,1999817;0,492781907
;;474,7999878;0,493275791
;;474,3999939;0,494807214
;;474;0,494893462
;;473,6000061;0,495477498
;;473,1999817;0,495880127
;;472,7999878;0,497074008
;;472,3999939;0,497124463
;;472;0,498353034
;;471,6000061;0,498590261
;;471,1999817;0,499558508
;;470,7999878;0,49947983
;;470,3999939;0,498613447
;;470;0,500036478
;;469,6000061;0,499750316
;;469,1999817;0,500229657
;;468,7999878;0,500916302
;;468,3999939;0,500159323
;;468;0,500569105
;;467,6000061;0,499952287
;;467,1999817;0,499106586
;;466,7999878;0,498968095
;;466,3999939;0,499105156
;;466;0,499533445
;;465,6000061;0,499068022
;;465,1999817;0,49895379
;;464,7999878;0,497443348
;;464,3999939;0,497742862
;;464;0,498183996
;;463,6000061;0,497519463
;;463,1999817;0,497791141
;;462,7999878;0,496676773
;;462,3999939;0,496564925
;;462;0,496074796
;;461,6000061;0,496540487
;;461,1999817;0,496889502
;;460,7999878;0,495598972
;;460,3999939;0,496292114
;;460;0,496531695
;;459,6000061;0,496426225
;;459,1999817;0,496115804
;;458,7999878;0,496803105
;;458,3999939;0,497005165
;;458;0,49721694
;;457,6000061;0,498032123
;;457,1999817;0,498451948
;;456,7999878;0,498754025
;;456,3999939;0,499723256
;;456;0,500036538
;;455,6000061;0,501981497
;;455,1999817;0,503188729
;;454,7999878;0,504617274
;;454,3999939;0,505799711
;;454;0,507090509
;;453,6000061;0,509645462
;;453,1999817;0,511182666
;;452,7999878;0,513186276
;;452,3999939;0,515288115
;;452;0,517583191
;;451,6000061;0,519924343
;;451,1999817;0,521304846
;;450,7999878;0,525007427
;;450,3999939;0,527735412
;;450;0,530844331
;;449,6000061;0,533528566
;;449,1999817;0,5362643
;;448,7999878;0,539114595
;;448,3999939;0,542331994
;;448;0,545554638
;;447,6000061;0,548888922
;;447,1999817;0,551076233
;;446,7999878;0,554850757
;;446,3999939;0,55777055
;;446;0,559223115
