Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
500,7999878;0,092090189;599,2000122;0,063232943
501,1999817;0,091188751;598,7999878;0,06286519
501,6000061;0,090585612;598,4000244;0,062702045
502;0,08958222;598;0,062580794
502,3999939;0,088830613;597,5999756;0,062354732
502,7999878;0,088040158;597,2000122;0,062204447
503,1999817;0,087358564;596,7999878;0,061995331
503,6000061;0,086542986;596,4000244;0,061902393
504;0,086027898;596;0,061884783
504,3999939;0,085344948;595,5999756;0,061573554
504,7999878;0,084880367;595,2000122;0,061507966
505,1999817;0,084178828;594,7999878;0,061344709
505,6000061;0,083557479;594,4000244;0,061097417
506;0,082941405;594;0,06096106
506,3999939;0,082310751;593,5999756;0,060748197
506,7999878;0,082028285;593,2000122;0,060519546
507,1999817;0,081590757;592,7999878;0,060371593
507,6000061;0,08119449;592,4000244;0,06009474
508;0,080591671;592;0,059792157
508,3999939;0,080178969;591,5999756;0,059533607
508,7999878;0,07967177;591,2000122;0,05924011
509,1999817;0,079296082;590,7999878;0,059075981
509,6000061;0,079081029;590,4000244;0,058919922
510;0,078615621;590;0,05848261
510,3999939;0,078297786;589,5999756;0,05828321
510,7999878;0,077952489;589,2000122;0,057904534
511,1999817;0,07771875;588,7999878;0,057646159
511,6000061;0,077472232;588,4000244;0,057216089
512;0,077030033;588;0,056938145
512,4000244;0,076870538;587,5999756;0,056802969
512,7999878;0,076614589;587,2000122;0,056515086
513,2000122;0,076241009;586,7999878;0,055984057
513,5999756;0,076089852;586,4000244;0,055568047
514;0,075993568;586;0,055465326
514,4000244;0,076044604;585,5999756;0,055145789
514,7999878;0,075661257;585,2000122;0,054651454
515,2000122;0,075613745;584,7999878;0,054263495
515,5999756;0,075487629;584,4000244;0,053811945
516;0,07532005;584;0,053626981
516,4000244;0,074983761;583,5999756;0,053107455
516,7999878;0,075137116;583,2000122;0,052747704
517,2000122;0,075136282;582,7999878;0,052421689
517,5999756;0,074724093;582,4000244;0,05204447
518;0,074889876;582;0,051705632
518,4000244;0,074839376;581,5999756;0,051261682
518,7999878;0,074672163;581,2000122;0,050902378
519,2000122;0,074748412;580,7999878;0,050571114
519,5999756;0,074834794;580,4000244;0,050181929
520;0,07482215;580;0,049713179
520,4000244;0,074581116;579,5999756;0,049470246
520,7999878;0,074660361;579,2000122;0,049069118
521,2000122;0,074698605;578,7999878;0,048526965
521,5999756;0,074653685;578,4000244;0,048059218
522;0,0748486;578;0,047677822
522,4000244;0,074710287;577,5999756;0,047148366
522,7999878;0,074924044;577,2000122;0,046717204
523,2000122;0,075074092;576,7999878;0,046315558
523,5999756;0,074963301;576,4000244;0,045875702
524;0,075158782;576;0,045378353
524,4000244;0,075006738;575,5999756;0,044857029
524,7999878;0,075171307;575,2000122;0,044372913
525,2000122;0,0752296;574,7999878;0,044166163
525,5999756;0,075148776;574,4000244;0,043572366
526;0,075198762;574;0,043041144
526,4000244;0,075225018;573,5999756;0,042538319
526,7999878;0,075340189;573,2000122;0,04207914
527,2000122;0,07545609;572,7999878;0,04143063
527,5999756;0,075402878;572,4000244;0,041070659
528;0,075566053;572;0,040532313
528,4000244;0,075556904;571,5999756;0,040066987
528,7999878;0,075572893;571,2000122;0,039275035
529,2000122;0,075653829;570,7999878;0,038865689
529,5999756;0,075718477;570,4000244;0,038518809
530;0,075793952;570;0,038015515
530,4000244;0,075861029;569,5999756;0,037529137
530,7999878;0,07593184;569,2000122;0,037116073
531,2000122;0,076108389;568,7999878;0,036849033
531,5999756;0,076163881;568,4000244;0,036232986
532;0,076038286;568;0,035751104
532,4000244;0,076230921;567,5999756;0,035070464
532,7999878;0,076251253;567,2000122;0,034687713
533,2000122;0,076327682;566,7999878;0,034319192
533,5999756;0,076320924;566,4000244;0,033817463
534;0,076401941;566;0,033270445
534,4000244;0,076316051;565,5999756;0,032910388
534,7999878;0,076390736;565,2000122;0,032624263
535,2000122;0,076302871;564,7999878;0,032168359
