Wavelength (nm);Abs_HP;Abs_AT
614,7999878;0,204854682;0,07108546
614,4000244;0,203153879;0,070680201
614;0,202518046;0,070077524
613,5999756;0,201677635;0,070081353
613,2000122;0,200986028;0,069719978
612,7999878;0,200368598;0,068897657
612,4000244;0,198857144;0,06853693
612;0,198788449;0,067853436
611,5999756;0,197477952;0,067698516
611,2000122;0,19667834;0,067462884
610,7999878;0,195195586;0,06673912
610,4000244;0,194905251;0,066374384
610;0,194293723;0,065888681
609,5999756;0,193352312;0,065512978
609,2000122;0,192856655;0,065108046
608,7999878;0,191622064;0,064618558
608,4000244;0,191096216;0,064173333
608;0,190955788;0,064180002
607,5999756;0,190264747;0,063669041
607,2000122;0,189471841;0,063357703
606,7999878;0,188274771;0,063128486
606,4000244;0,187655255;0,062835567
606;0,187006742;0,06240413
605,5999756;0,186609313;0,062088467
605,2000122;0,185635254;0,061660305
604,7999878;0,185293645;0,061539102
604,4000244;0,18480815;0,061392173
604;0,184190497;0,061101232
603,5999756;0,183960438;0,060939793
603,2000122;0,183540821;0,060592487
602,7999878;0,183232591;0,060257677
602,4000244;0,18273145;0,060323317
602;0,182495341;0,059879892
601,5999756;0,181629986;0,059649263
601,2000122;0,181575686;0,059485663
600,7999878;0,181127876;0,05938495
600,4000244;0,180644587;0,059376877
600;0,180612057;0,059256192
599,5999756;0,180313736;0,058875721
599,2000122;0,180515826;0,058609713
598,7999878;0,179689556;0,058459923
598,4000244;0,179449305;0,058579229
598;0,179278418;0,058635697
597,5999756;0,178687528;0,057875551
597,2000122;0,177702874;0,058167327
596,7999878;0,177728996;0,058552984
596,4000244;0,177975699;0,058092128
596;0,177558973;0,057983071
595,5999756;0,177046984;0,057810489
595,2000122;0,177011773;0,057270817
594,7999878;0,176199988;0,057501603
594,4000244;0,175779328;0,057558019
594;0,175687924;0,057439107
593,5999756;0,174925298;0,057603359
593,2000122;0,1744508;0,0574059
592,7999878;0,173465401;0,057043072
592,4000244;0,17304638;0,056750398
592;0,173057526;0,056855105
591,5999756;0,172748894;0,056335684
591,2000122;0,171926379;0,056039542
590,7999878;0,171393827;0,056055769
590,4000244;0,170584947;0,055929054
590;0,169989049;0,055842411
589,5999756;0,169450149;0,055014905
589,2000122;0,16950044;0,055615943
588,7999878;0,168317333;0,055679649
588,4000244;0,167873457;0,054758299
588;0,166075647;0,054555818
587,5999756;0,16615507;0,054439694
587,2000122;0,165803626;0,053986378
586,7999878;0,164633289;0,053928342
586,4000244;0,164954066;0,053467095
586;0,163264394;0,053267762
585,5999756;0,163026393;0,052766908
585,2000122;0,162268221;0,05248598
584,7999878;0,16160506;0,052374642
584,4000244;0,161070526;0,052508589
584;0,159770727;0,052048966
583,5999756;0,159017488;0,051530886
583,2000122;0,158963546;0,051519811
582,7999878;0,158061534;0,050802007
582,4000244;0,156625763;0,050869256
582;0,156121284;0,050574549
581,5999756;0,154533953;0,050316017
581,2000122;0,154044583;0,049755499
580,7999878;0,153295323;0,049358893
580,4000244;0,152573422;0,049578436
580;0,151552141;0,049206402
579,5999756;0,151100576;0,048493534
579,2000122;0,150576219;0,048883699
578,7999878;0,148984775;0,04790929
578,4000244;0,147899404;0,047504779
578;0,14735046;0,047132466
577,5999756;0,146095887;0,046982512
577,2000122;0,145397455;0,046401504
576,7999878;0,144227982;0,046526592
576,4000244;0,143232748;0,045817416
576;0,142242014;0,045931492
575,5999756;0,14111653;0,045397319
575,2000122;0,139245182;0,044810303
574,7999878;0,138218552;0,044896927
574,4000244;0,137248054;0,043945901
574;0,136415869;0,043617468
573,5999756;0,136276111;0,043306932
573,2000122;0,135001645;0,042882651
572,7999878;0,133361384;0,042302161
572,4000244;0,132650018;0,042130448
572;0,130886078;0,041480526
571,5999756;0,129723981;0,041493997
571,2000122;0,128887504;0,041195985
570,7999878;0,127998054;0,040472411
570,4000244;0,126996428;0,040310677
570;0,125326201;0,0393348
569,5999756;0,124537826;0,039260555
569,2000122;0,123137154;0,039415237
568,7999878;0,121994048;0,038416736
568,4000244;0,121055037;0,038050663
568;0,120457843;0,038099095
567,5999756;0,118285492;0,036588941
567,2000122;0,117303722;0,037773021
566,7999878;0,116853923;0,036651772
566,4000244;0,11571049;0,036245003
566;0,114845946;0,036152996
565,5999756;0,113964446;0,035541281
565,2000122;0,113045499;0,035509761
564,7999878;0,111905307;0,035121176
564,4000244;0,111135885;0,034933817
564;0,110023297;0,034482155
563,5999756;0,10978891;0,034199364
563,2000122;0,108890265;0,033577692
562,7999878;0,107565343;0,033732962
562,4000244;0,107580863;0,033531774
562;0,106991604;0,033566337
561,5999756;0,106063224;0,032792844
561,2000122;0,105757751;0,033115815
560,7999878;0,104877904;0,032655712
560,4000244;0,104881302;0,032559276
560;0,103993461;0,032381024
559,5999756;0,103878662;0,032126714
559,2000122;0,103817932;0,031434916
558,7999878;0,103612803;0,032044161
558,4000244;0,102613308;0,032348838
558;0,103002615;0,032199137
557,5999756;0,102841459;0,031517826
557,2000122;0,102285549;0,031577814
556,7999878;0,10244371;0,03138566
556,4000244;0,102140084;0,031410623
556;0,102462031;0,031666517
555,5999756;0,102359854;0,03149144
555,2000122;0,101739153;0,031872611
554,7999878;0,10207957;0,031466335
554,4000244;0,102073737;0,032147005
554;0,101788692;0,03177448
553,5999756;0,102615573;0,031381626
553,2000122;0,101936035;0,031784564
552,7999878;0,102476224;0,031701516
552,4000244;0,101652749;0,031703077
552;0,102533057;0,031875119
551,5999756;0,102318898;0,031136384
551,2000122;0,102582589;0,031513624
550,7999878;0,103073068;0,031460021
550,4000244;0,102978692;0,032032344
550;0,103161596;0,031924874
549,5999756;0,103366517;0,032400992
549,2000122;0,102888301;0,031797431
548,7999878;0,104504079;0,032229774
548,4000244;0,104081087;0,032204293
548;0,104333542;0,032473069
547,5999756;0,104760759;0,031887989
547,2000122;0,104589038;0,032579727
546,7999878;0,104387134;0,032250937
546,4000244;0,105700985;0,032906227
546;0,105642781;0,032145947
545,5999756;0,105787143;0,032505039
545,2000122;0,106134675;0,032418117
544,7999878;0,106118716;0,032538239
544,4000244;0,105517276;0,032654457
544;0,106181875;0,032318916
543,5999756;0,105879158;0,033092741
543,2000122;0,106464297;0,032948475
542,7999878;0,107171372;0,032719906
542,4000244;0,106779374;0,032916922
542;0,10688746;0,033230539
541,5999756;0,107295893;0,03272102
541,2000122;0,107390486;0,033065617
540,7999878;0,107762039;0,03310978
540,4000244;0,107639037;0,032994643
540;0,107821159;0,032670002
539,5999756;0,108628131;0,03294725
539,2000122;0,108310953;0,033471741
538,7999878;0,10799028;0,033403356
538,4000244;0,108354367;0,03314437
538;0,109364808;0,033106625
537,5999756;0,109266393;0,033719704
537,2000122;0,10942775;0,033428989
536,7999878;0,110090263;0,033695504
536,4000244;0,110246092;0,033428542
536;0,110623233;0,033945806
535,5999756;0,110551573;0,034110785
535,2000122;0,110993475;0,03406439
534,7999878;0,111768164;0,034204993
534,4000244;0,111909725;0,034754224
534;0,112875909;0,034734789
533,5999756;0,112779111;0,034777667
533,2000122;0,113597609;0,034721136
532,7999878;0,114236482;0,034945097
532,4000244;0,114783064;0,035235252
532;0,115527429;0,035123393
531,5999756;0,11636246;0,03501207
531,2000122;0,116788209;0,035819437
530,7999878;0,117060527;0,035572942
530,4000244;0,11880932;0,036481377
530;0,119342029;0,036849707
529,5999756;0,120279595;0,037196271
529,2000122;0,121602289;0,037359528
528,7999878;0,12225686;0,037675496
528,4000244;0,123278655;0,038319323
528;0,124298103;0,038287714
527,5999756;0,125902563;0,038790192
527,2000122;0,12725015;0,039618406
526,7999878;0,128415719;0,039618973
526,4000244;0,129847124;0,039885286
526;0,131286264;0,040980585
525,5999756;0,133001775;0,041476537
525,2000122;0,135246292;0,041670531
524,7999878;0,136596993;0,04262723
524,4000244;0,137951836;0,043142766
524;0,140037715;0,043768298
523,5999756;0,14226076;0,04442418
523,2000122;0,144215062;0,04575434
522,7999878;0,146490514;0,046312537
522,4000244;0,148183063;0,046491127
522;0,150763646;0,047741614
521,5999756;0,152917832;0,048501756
521,2000122;0,155620158;0,048880339
