Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
587.5999756,0.3353652656,587.5999756,0.08204782009,587.5999756,0.1394144297,587.5999756,0.05680296943,587.5999756,0.2482766062,
587.2000122,0.3354634941,587.2000122,0.08167375624,587.2000122,0.1387698054,587.2000122,0.05651508644,587.2000122,0.2474702448,
586.7999878,0.3356574178,586.7999878,0.08097758889,586.7999878,0.1383001655,586.7999878,0.05598405749,586.7999878,0.2464645803,
586.4000244,0.3357104957,586.4000244,0.08075877279,586.4000244,0.1378271431,586.4000244,0.05556804687,586.4000244,0.2455832064,
586,0.3357284069,586,0.08034482598,586,0.1373059005,586,0.05546532571,586,0.2445872575,
585.5999756,0.3358051777,585.5999756,0.07989343256,585.5999756,0.136672765,585.5999756,0.05514578894,585.5999756,0.243687585,
585.2000122,0.3358786702,585.2000122,0.07956667244,585.2000122,0.1362276226,585.2000122,0.05465145409,585.2000122,0.242646262,
584.7999878,0.3360258639,584.7999878,0.0791605413,584.7999878,0.1356008202,584.7999878,0.05426349491,584.7999878,0.2415685654,
584.4000244,0.3360884488,584.4000244,0.07861233503,584.4000244,0.1349835992,584.4000244,0.05381194502,584.4000244,0.240504846,
584,0.3360102475,584,0.07831896096,584,0.1344432831,584,0.05362698063,584,0.239471212,
583.5999756,0.3361573517,583.5999756,0.07762043923,583.5999756,0.1337976754,583.5999756,0.05310745537,583.5999756,0.2382908016,
583.2000122,0.3362928033,583.2000122,0.07706724852,583.2000122,0.133041963,583.2000122,0.05274770409,583.2000122,0.2370275408,
582.7999878,0.3362808526,582.7999878,0.07670137286,582.7999878,0.1323878765,582.7999878,0.05242168903,582.7999878,0.2358515114,
582.4000244,0.3364266455,582.4000244,0.07607606798,582.4000244,0.1318136752,582.4000244,0.05204446986,582.4000244,0.2344358414,
582,0.3364578784,582,0.07567903399,582,0.1311199069,582,0.05170563236,582,0.2331809253,
