Baseline 100%T,,Koen,,Mads,,Eva,,Jasmijn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
566,0.3484764397,566,0.1111234128,566,0.3051044345,566,0.1257439852,566,0.08293303847,
565.5999756,0.3485305309,565.5999756,0.1093120351,565.5999756,0.3012692332,565.5999756,0.1242437512,565.5999756,0.08255764842,
565.2000122,0.3485524058,565.2000122,0.1073792502,565.2000122,0.2976107001,565.2000122,0.1228737086,565.2000122,0.08247622848,
564.7999878,0.3486914337,564.7999878,0.1054028943,564.7999878,0.2937378287,564.7999878,0.12141224,564.7999878,0.08225418627,
564.4000244,0.3487318158,564.4000244,0.1034858152,564.4000244,0.2900243402,564.4000244,0.1199589819,564.4000244,0.08189994842,
564,0.3487966061,564,0.1015304551,564,0.2862622738,564,0.118457146,564,0.08157163858,
563.5999756,0.3487851024,563.5999756,0.09969567508,563.5999756,0.2825702727,563.5999756,0.1171153709,563.5999756,0.08135014772,
563.2000122,0.3487942517,563.2000122,0.09798566997,563.2000122,0.27894485,563.2000122,0.1155920401,563.2000122,0.08103214949,
562.7999878,0.3488561809,562.7999878,0.09599041194,562.7999878,0.2753228545,562.7999878,0.114071779,562.7999878,0.08082624525,
562.4000244,0.3488560021,562.4000244,0.09428943694,562.4000244,0.2718060315,562.4000244,0.1126942709,562.4000244,0.08057259768,
562,0.3489487767,562,0.09233973175,562,0.2683196664,562,0.1112841293,562,0.08020403236,
561.5999756,0.3488540947,561.5999756,0.09072544426,561.5999756,0.2649335265,561.5999756,0.1099336296,561.5999756,0.08009130508,
561.2000122,0.349108547,561.2000122,0.08869945258,561.2000122,0.2614853978,561.2000122,0.1084952801,561.2000122,0.07964823395,
560.7999878,0.3489638865,560.7999878,0.08739329129,560.7999878,0.258420527,560.7999878,0.1074685603,560.7999878,0.07950014621,
560.4000244,0.349036783,560.4000244,0.08580648899,560.4000244,0.2551276982,560.4000244,0.1061156765,560.4000244,0.07916264981,
560,0.3491072953,560,0.0840261057,560,0.2519651353,560,0.1048909575,560,0.07895375043,
559.5999756,0.3491619825,559.5999756,0.08256622404,559.5999756,0.2489382178,559.5999756,0.10372293,559.5999756,0.07887461782,
559.2000122,0.3491382003,559.2000122,0.08112163097,559.2000122,0.2461555302,559.2000122,0.1025446951,559.2000122,0.07859998941,
558.7999878,0.3490877151,558.7999878,0.07981366664,558.7999878,0.2437842637,558.7999878,0.101779826,558.7999878,0.07850392163,
558.4000244,0.3491093516,558.4000244,0.07853738964,558.4000244,0.2410565466,558.4000244,0.1007343009,558.4000244,0.07845405489,
558,0.3491041958,558,0.07730907947,558,0.2385098338,558,0.09977599233,558,0.07817457616,
557.5999756,0.3491874337,557.5999756,0.07621243596,557.5999756,0.236050725,557.5999756,0.09874157608,557.5999756,0.07785220444,
557.2000122,0.3493038118,557.2000122,0.07489494979,557.2000122,0.2338539511,557.2000122,0.09770890325,557.2000122,0.07776791602,
556.7999878,0.3493677676,556.7999878,0.07370700687,556.7999878,0.2316587716,556.7999878,0.09681673348,556.7999878,0.07761926204,
556.4000244,0.3493398726,556.4000244,0.07264658064,556.4000244,0.2296165824,556.4000244,0.09620202333,556.4000244,0.07731799036,
556,0.3493342996,556,0.07171463966,556,0.2275702953,556,0.09537593275,556,0.07725057006,
555.5999756,0.3493694365,555.5999756,0.07092761248,555.5999756,0.2258946896,555.5999756,0.09480141848,555.5999756,0.07718167454,
555.2000122,0.3495128751,555.2000122,0.07001139969,555.2000122,0.2240169495,555.2000122,0.09386432171,555.2000122,0.07697031647,
554.7999878,0.3495415449,554.7999878,0.0691049397,554.7999878,0.2223694026,554.7999878,0.09331410378,554.7999878,0.07678922266,
554.4000244,0.3494603038,554.4000244,0.06852253526,554.4000244,0.2211353779,554.4000244,0.09292315692,554.4000244,0.07693777978,
554,0.3494265676,554,0.06789586693,554,0.2196643651,554,0.09244765341,554,0.07693165541,
553.5999756,0.3494292498,553.5999756,0.06722661853,553.5999756,0.2184782475,553.5999756,0.09193924069,553.5999756,0.07682549208,
553.2000122,0.3494412303,553.2000122,0.0666950196,553.2000122,0.2173144817,553.2000122,0.09150855988,553.2000122,0.07670263946,
552.7999878,0.3495458364,552.7999878,0.06620289385,552.7999878,0.2163774818,552.7999878,0.09113986045,552.7999878,0.07665757835,
552.4000244,0.3496592343,552.4000244,0.06554853171,552.4000244,0.2154906243,552.4000244,0.09059180319,552.4000244,0.07666350901,
552,0.3497468233,552,0.06505866349,552,0.2144216299,552,0.09020839632,552,0.07636005431,
551.5999756,0.3497266471,551.5999756,0.06467536092,551.5999756,0.2136320472,551.5999756,0.0900022313,551.5999756,0.07627985626,
551.2000122,0.3497282565,551.2000122,0.06452166289,551.2000122,0.2132111937,551.2000122,0.08978343755,551.2000122,0.07640400529,
550.7999878,0.3497155607,550.7999878,0.06427903473,550.7999878,0.2127529383,550.7999878,0.0895376429,550.7999878,0.07646173239,
550.4000244,0.3498271108,550.4000244,0.06395001709,550.4000244,0.2122151852,550.4000244,0.08924783021,550.4000244,0.07637131959,
550,0.3498340249,550,0.06379245967,550,0.2119323015,550,0.08914420754,550,0.07633743435,
549.5999756,0.3498547971,549.5999756,0.06363736093,549.5999756,0.211721763,549.5999756,0.08918829262,549.5999756,0.07630907744,
549.2000122,0.3497609198,549.2000122,0.06370960176,549.2000122,0.2116155177,549.2000122,0.08913234621,549.2000122,0.07629577816,
548.7999878,0.3497903049,548.7999878,0.06360370666,548.7999878,0.2114027739,548.7999878,0.08910580724,548.7999878,0.07631891966,
548.4000244,0.3497867882,548.4000244,0.06358458847,548.4000244,0.2114334702,548.4000244,0.08894515783,548.4000244,0.07645394653,
548,0.3498528898,548,0.06344804913,548,0.2113184184,548,0.08906951547,548,0.0764259547,
