Baseline 100%T;;Eva;;Koen;;Jasmijn;;Mads;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
672;0,344361603;672;0,521947146;672;0,684714079;672;0,341261983;672;1,390975952
671,5999756;0,344246984;671,5999756;0,515735984;671,5999756;0,676727653;671,5999756;0,337598056;671,5999756;1,376163721
671,2000122;0,344352245;671,2000122;0,508864701;671,2000122;0,667924762;671,2000122;0,333499879;671,2000122;1,35965693
670,7999878;0,344253629;670,7999878;0,50190562;670,7999878;0,659255922;670,7999878;0,329376936;670,7999878;1,342924118
670,4000244;0,344182849;670,4000244;0,495002717;670,4000244;0,650408387;670,4000244;0,325286746;670,4000244;1,325303674
670;0,344187796;670;0,48768574;670;0,641375601;670;0,320745617;670;1,306813002
669,5999756;0,344106913;669,5999756;0,480149686;669,5999756;0,632260799;669,5999756;0,316266298;669,5999756;1,287565231
669,2000122;0,343782693;669,2000122;0,472765237;669,2000122;0,623076916;669,2000122;0,311736405;669,2000122;1,267332673
668,7999878;0,343801081;668,7999878;0,464553058;668,7999878;0,613348007;668,7999878;0,306747586;668,7999878;1,246296883
668,4000244;0,343887478;668,4000244;0,456405759;668,4000244;0,603413642;668,4000244;0,301702321;668,4000244;1,224220634
668;0,343816757;668;0,447950453;668;0,593221188;668;0,296537042;668;1,201563597
667,5999756;0,343817353;667,5999756;0,439598441;667,5999756;0,583262503;667,5999756;0,291498333;667,5999756;1,179225802
667,2000122;0,343660861;667,2000122;0,431070596;667,2000122;0,573046684;667,2000122;0,286478549;667,2000122;1,155913115
666,7999878;0,343571127;666,7999878;0,422256619;666,7999878;0,562556565;666,7999878;0,281181216;666,7999878;1,131892085
666,4000244;0,343426108;666,4000244;0,413488239;666,4000244;0,552161098;666,4000244;0,276076645;666,4000244;1,108025551
666;0,343396932;666;0,404613137;666;0,541375876;666;0,270902395;666;1,083209991
665,5999756;0,343308151;665,5999756;0,395602047;665,5999756;0,530556202;665,5999756;0,265818119;665,5999756;1,058633089
665,2000122;0,343214512;665,2000122;0,386645228;665,2000122;0,519729257;665,2000122;0,260620445;665,2000122;1,033848763
664,7999878;0,343171477;664,7999878;0,377708793;664,7999878;0,508914173;664,7999878;0,255720586;664,7999878;1,009402633
664,4000244;0,343146861;664,4000244;0,368743867;664,4000244;0,498070747;664,4000244;0,250718176;664,4000244;0,985083342
664;0,343007743;664;0,359752387;664;0,487012059;664;0,24582614;664;0,960253894
663,5999756;0,342830837;663,5999756;0,350858867;663,5999756;0,476183087;663,5999756;0,241252154;663,5999756;0,936307132
663,2000122;0,342789888;663,2000122;0,342083812;663,2000122;0,465177745;663,2000122;0,23646982;663,2000122;0,911976695
662,7999878;0,34267208;662,7999878;0,333299577;662,7999878;0,454285353;662,7999878;0,231903017;662,7999878;0,888218164
662,4000244;0,342608154;662,4000244;0,324649125;662,4000244;0,44352901;662,4000244;0,227518231;662,4000244;0,864877641
662;0,342518419;662;0,316173583;662;0,43315959;662;0,223459974;662;0,842143297
661,5999756;0,342429131;661,5999756;0,308033556;661,5999756;0,422853798;661,5999756;0,219375521;661,5999756;0,820018768
661,2000122;0,342295319;661,2000122;0,29987371;661,2000122;0,412615806;661,2000122;0,215505511;661,2000122;0,797888219
660,7999878;0,342030823;660,7999878;0,292184383;660,7999878;0,402825624;660,7999878;0,211991295;660,7999878;0,777210593
660,4000244;0,341957212;660,4000244;0,284514636;660,4000244;0,393192172;660,4000244;0,208401814;660,4000244;0,756513178
660;0,341828615;660;0,27711013;660;0,383568227;660;0,20510754;660;0,73633492
659,5999756;0,341760308;659,5999756;0,269999355;659,5999756;0,374597549;659,5999756;0,201876074;659,5999756;0,717514396
659,2000122;0,341710746;659,2000122;0,262992352;659,2000122;0,365921825;659,2000122;0,198998615;659,2000122;0,699124277
658,7999878;0,341693342;658,7999878;0,256205857;658,7999878;0,357248783;658,7999878;0,196066424;658,7999878;0,681560457
658,4000244;0,34138152;658,4000244;0,249996364;658,4000244;0,349226087;658,4000244;0,193478078;658,4000244;0,664664149
658;0,341192931;658;0,243981212;658;0,341442972;658;0,190917864;658;0,648622811
657,5999756;0,341143429;657,5999756;0,238167733;657,5999756;0,333973974;657,5999756;0,18861115;657,5999756;0,633337379
657,2000122;0,340980858;657,2000122;0,232669354;657,2000122;0,326691866;657,2000122;0,186466947;657,2000122;0,618774951
656,7999878;0,340764552;656,7999878;0,227756038;656,7999878;0,320249736;656,7999878;0,184403226;656,7999878;0,605477274
656,4000244;0,340712965;656,4000244;0,222774804;656,4000244;0,313972801;656,4000244;0,182436407;656,4000244;0,592788458
656;0,340557009;656;0,218279824;656;0,307818919;656;0,180634573;656;0,580495954
655,5999756;0,340511143;655,5999756;0,21374768;655,5999756;0,302059621;655,5999756;0,178836614;655,5999756;0,569206357
655,2000122;0,340295315;655,2000122;0,209794194;655,2000122;0,296974689;655,2000122;0,177334577;655,2000122;0,558820128
654,7999878;0,3401393;654,7999878;0,206101939;654,7999878;0,291990846;654,7999878;0,175886467;654,7999878;0,548672378
