Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
698,4000244;0,353873283;698,4000244;0,012137104;698,4000244;0,092862181;698,4000244;0,043999039;698,4000244;0,05807399;;401,6000061;1,181067348;;1,181461568
698;0,353824943;698;0,012734459;698;0,094153374;698;0,044273783;698;0,058204353;;402;1,195942402;;1,196336622
697,5999756;0,3539294;697,5999756;0,013163169;697,5999756;0,095224477;697,5999756;0,044563875;697,5999756;0,058179669;;402,3999939;1,211156249;;1,211550469
697,2000122;0,353959709;697,2000122;0,013726376;697,2000122;0,096441366;697,2000122;0,044972572;697,2000122;0,058286496;;402,7999878;1,226721168;;1,227115388
696,7999878;0,353872031;696,7999878;0,014517578;696,7999878;0,097888857;696,7999878;0,045551326;696,7999878;0,058508348;;403,1999817;1,241698742;;1,242092962
696,4000244;0,353845209;696,4000244;0,015036853;696,4000244;0,099280074;696,4000244;0,046074577;696,4000244;0,058746047;;403,6000061;1,256959796;;1,257354016
696;0,35377723;696;0,015928101;696;0,100905448;696;0,046778694;696;0,058892529;;404;1,272261977;;1,272656197
695,5999756;0,353675962;695,5999756;0,016825596;695,5999756;0,102539614;695,5999756;0,04731812;695,5999756;0,058801644;;404,3999939;1,287094474;;1,287488694
695,2000122;0,353697985;695,2000122;0,017652366;695,2000122;0,104224309;695,2000122;0,047933687;695,2000122;0,058963299;;404,7999878;1,301756144;;1,302150364
694,7999878;0,353655815;694,7999878;0,018534144;694,7999878;0,106154442;694,7999878;0,048764188;694,7999878;0,059251592;;405,1999817;1,316150904;;1,316545124
694,4000244;0,353670806;694,4000244;0,019552059;694,4000244;0,108136721;694,4000244;0,049419221;694,4000244;0,059442323;;405,6000061;1,330371857;;1,330766077
694;0,353560358;694;0,020769782;694;0,110433884;694;0,050277565;694;0,059610479;;406;1,344535828;;1,344930048
693,5999756;0,353605807;693,5999756;0,021778122;693,5999756;0,11263378;693,5999756;0,051228095;693,5999756;0,059685644;;406,3999939;1,357893586;;1,358287806
