Baseline 100%T;;Baseline 0%T;;Eva;;Jasmijn;;Mads;;Koen;;F. albivenis (Nicco);;A. thaliana (model);
Wavelength (nm);%T;Wavelength (nm);%T;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
761,2000122;64,1075592;761,2000122;-4,960217476;761,2000122;-0,000207608;761,2000122;-0,01243914;761,2000122;-0,000818416;761,2000122;-0,019781267;761,2000122;0,000610198;761,2000122;0,001390644
760,7999878;64,13758087;760,7999878;-4,908512115;760,7999878;2,28E-05;760,7999878;-0,013638987;760,7999878;-0,001007865;760,7999878;-0,020084344;760,7999878;0,001462974;760,7999878;0,001485467
760,4000244;64,13586426;760,4000244;-4,943935394;760,4000244;0,000269116;760,4000244;-0,012378512;760,4000244;-0,001777107;760,4000244;-0,020682162;760,4000244;0,000760263;760,4000244;0,001734064
760;64,34410858;760;-4,986770153;760;0,000873364;760;-0,011182641;760;-0,000212782;760;-0,018313983;760;3,95E-05;760;0,001408329
759,5999756;64,17618561;759,5999756;-4,91491127;759,5999756;1,76E-05;759,5999756;-0,012340572;759,5999756;-0,000959671;759,5999756;-0,021211023;759,5999756;4,96E-05;759,5999756;0,001351718
759,2000122;64,26513672;759,2000122;-4,938207626;759,2000122;-0,000768599;759,2000122;-0,012166021;759,2000122;-0,001465724;759,2000122;-0,019627994;759,2000122;0,000428806;759,2000122;0,001765772
758,7999878;64,16207123;758,7999878;-4,958380699;758,7999878;-0,001304865;758,7999878;-0,013991498;758,7999878;-0,002164617;758,7999878;-0,020671399;758,7999878;-0,000506138;758,7999878;0,001631027
758,4000244;64,18235016;758,4000244;-4,911762238;758,4000244;-0,000575891;758,4000244;-0,013441066;758,4000244;-0,001331447;758,4000244;-0,021014946;758,4000244;0,000210167;758,4000244;0,002050914
758;64,17770386;758;-4,990825653;758;-0,00074343;758;-0,013444681;758;-0,001118696;758;-0,020486733;758;-6,91E-05;758;0,001678216
757,5999756;64,30609894;757,5999756;-5,010884285;757,5999756;-0,0001852;757,5999756;-0,012537435;757,5999756;-0,000522375;757,5999756;-0,019554751;757,5999756;0,000488588;757,5999756;0,00079841
757,2000122;64,1567688;757,2000122;-4,909340382;757,2000122;-0,001309356;757,2000122;-0,013514846;757,2000122;-0,001984073;757,2000122;-0,021652564;757,2000122;0,000251736;757,2000122;0,000585106
756,7999878;64,36300659;756,7999878;-4,996414661;756,7999878;-0,000129928;756,7999878;-0,012151422;756,7999878;-0,000647495;756,7999878;-0,020134415;756,7999878;0,000486955;756,7999878;0,001763303
756,4000244;64,22613525;756,4000244;-4,969542027;756,4000244;-0,000562138;756,4000244;-0,013352415;756,4000244;-0,001397404;756,4000244;-0,020566585;756,4000244;0,001144164;756,4000244;0,002405138
756;64,38805389;756;-4,913665295;756;-0,000122216;756;-0,012562584;756;-0,000984311;756;-0,020615712;756;0,000642784;756;0,002100983
