Nicco;Model;Eva;Jasmijn;Mads;Koen;Koen-AC;fl-AT;fl-AF;;;;;;
0,007320118;0,002500026;0,395816863;0,182740599;0,976910353;0,570513904;0,068368919;0,23337262;6077169;;;;;;
0,007494878;0,00251268;0,410847694;0,193303272;1,017027378;0,589191854;0,073487714;0,221947891;6265064,5;;;;;;
0,00778878;0,002672103;0,426342487;0,204635143;1,058457375;0,608405054;0,079196848;0,207821032;5874717;;;;;;
0,00821278;0,002964278;0,441362768;0,216163278;1,098805308;0,626580656;0,08505401;0,206382508;5631667;;;;;;
0,00831929;0,003172365;0,456261307;0,227884725;1,139226675;0,644776523;0,091879807;0,191328558;5140036,5;;;;;;
0,008539336;0,003344603;0,470941305;0,239614844;1,179415345;0,662140489;0,098966561;0,183069961;4941320,5;;;;;;
0,008763062;0,003603428;0,48490563;0,251293719;1,217292786;0,678697825;0,106600829;0,171725342;4450543;;;;;;
0,009165302;0,003907096;0,4981803;0,262800634;1,253813505;0,693942666;0,114891946;0,16184565;4355603,5;;;;;;
0,009493837;0,004107011;0,510618091;0,274052173;1,288511872;0,708320439;0,123793051;0,15947101;4158251,25;;;;;;
0,010083633;0,004453162;0,522463799;0,285086185;1,321451902;0,721520364;0,133581653;0,153388069;3845348,25;;;;;;
0,010361678;0,004711367;0,532999873;0,295570105;1,351402402;0,733353496;0,144063041;0,143099143;3953197,5;;;;;;
0,010249797;0,005082278;0,542642474;0,305320948;1,37903595;0,743638694;0,155363426;0,142075559;3617651,75;;;;;;
0,010649702;0,005118501;0,551336229;0,314821929;1,403989196;0,752650619;0,167813107;0,137699201;3263986,25;;;;;;
0,011080752;0,005257739;0,558696687;0,323580951;1,426202178;0,760212839;0,180879757;0,13100106;3022250,75;;;;;;
0,011601491;0,005941107;0,565069854;0,331256777;1,445029855;0,766355336;0,194807813;0,1229336;3047419,25;;;;;;
0,011882624;0,006067509;0,570355654;0,338235855;1,461524367;0,771295011;0,209930971;0,120737001;2966510,75;;;;;;
0,012339945;0,006199568;0,574441254;0,344474137;1,475033998;0,77476871;0,226038635;0,114236962;2845445,25;;;;;;
0,012674518;0,006710615;0,577655554;0,349764407;1,485999823;0,776796341;0,243519619;0,110092361;2651591,5;;;;;;
0,01276537;0,006794407;0,579760373;0,353996277;1,49431777;0,777778506;0,261811048;0,11023096;2604312;;;;;;
0,013673604;0,007270986;0,581155479;0,357581347;1,500405192;0,777729511;0,281405419;0,111739123;2397701,5;;;;;;
0,014041599;0,00742969;0,581648707;0,360548765;1,504153252;0,776616991;0,302331597;0,114753135;2527963,75;;;;;;
0,014320836;0,008117938;0,581359327;0,362522185;1,506520391;0,77447921;0,324235529;0,104978781;2341286;;;;;;
0,014708101;0,008287849;0,580098033;0,363819629;1,506798625;0,771622717;0,347611249;0,102522935;2334890,25;;;;;;
0,01503785;0,00849684;0,578548551;0,364663601;1,505139112;0,768301129;0,372248918;0,098986348;2079968,75;;;;;;
0,015320817;0,008814094;0,5764274;0,364870429;1,502354145;0,764104903;0,398053438;0,10014151;2264987,25;;;;;;
0,016090492;0,009388297;0,573734939;0,364487797;1,498267651;0,759242892;0,425234675;0,103005577;2211268,5;;;;;;
0,016507591;0,009969616;0,570488751;0,363704234;1,492961764;0,753957748;0,453829974;0,099290123;2130446,75;;;;;;
0,01725824;0,010469106;0,567076564;0,362927616;1,486967683;0,748540938;0,483347893;0,100105476;2121255,5;;;;;;
0,017472667;0,011112659;0,563288331;0,361518949;1,479800224;0,742716253;0,513592362;0,098933148;2144581;;;;;;
0,017937149;0,011407062;0,559022784;0,35988614;1,471575141;0,736171603;0,545993626;0,099586295;2078710,75;;;;;;
0,018438284;0,011886712;0,554581821;0,358064622;1,462824106;0,72987932;0,57891196;0,099422787;2046455;;;;;;
0,019147707;0,012577775;0,549678206;0,355550319;1,452605009;0,722622812;0,612964869;0,097786423;1832118,75;;;;;;
0,01961046;0,012979312;0,544647515;0,353220254;1,441806793;0,715467989;0,648559213;0,095047517;1823040,625;;;;;;
0,020235255;0,013617384;0,539268732;0,350594699;1,430518866;0,708229125;0,68421042;0,09412609;1834292,75;;;;;;
0,020886521;0,014281112;0,533683538;0,34773171;1,418204546;0,70040971;0,720346689;0,093202751;1798551,875;;;;;;
0,021380053;0,015039371;0,528134406;0,344592184;1,405014038;0,692663252;0,757575333;0,095140854;1552604,875;;;;;;
0,021924735;0,015613149;0,521947146;0,341261983;1,390975952;0,684714079;0,79555583;0,092368227;1606856,75;;;;;;
0,022695189;0,016090028;0,515735984;0,337598056;1,376163721;0,676727653;0,833562613;0,088347781;1564815,75;;;;;;
0,023137256;0,016752223;0,508864701;0,333499879;1,35965693;0,667924762;0,871516466;0,092379557;1660890,625;;;;;;
0,023831075;0,017421894;0,50190562;0,329376936;1,342924118;0,659255922;0,909706235;0,087356421;1763098,25;;;;;;
0,024586448;0,018171085;0,495002717;0,325286746;1,325303674;0,650408387;0,947146773;0,085822059;1452326,75;;;;;;
0,02540495;0,018977005;0,48768574;0,320745617;1,306813002;0,641375601;0,984134436;0,085490369;1732172,25;;;;;;
0,026074912;0,019954976;0,480149686;0,316266298;1,287565231;0,632260799;1,020725727;0,084062725;;;;;;;
0,02661289;0,020719089;0,472765237;0,311736405;1,267332673;0,623076916;1,056479573;0,080253027;;;;;;;
0,027237692;0,021268563;0,464553058;0,306747586;1,246296883;0,613348007;1,090969682;0,082669561;;;;;;;
0,028131779;0,022068763;0,456405759;0,301702321;1,224220634;0,603413642;1,124196768;0,081174461;;;;;;;
0,028914185;0,02299851;0,447950453;0,296537042;1,201563597;0,593221188;1,15626502;0,08159465;;;;;;;
0,029865015;0,024079047;0,439598441;0,291498333;1,179225802;0,583262503;1,185694933;0,079303177;;;;;;;
0,030192784;0,024820143;0,431070596;0,286478549;1,155913115;0,573046684;1,212983251;0,074197731;;;;;;;
0,031022429;0,025912674;0,422256619;0,281181216;1,131892085;0,562556565;1,238641262;0,073869425;;;;;;;
0,031764369;0,02682093;0,413488239;0,276076645;1,108025551;0,552161098;1,261473894;0,074708812;;;;;;;
0,033071596;0,02793524;0,404613137;0,270902395;1,083209991;0,541375876;1,282068253;0,07619555;;;;;;;
0,033787176;0,028973214;0,395602047;0,265818119;1,058633089;0,530556202;1,299914837;0,070722814;;;;;;;
0,034536143;0,030296806;0,386645228;0,260620445;1,033848763;0,519729257;1,314881921;0,070529951;;;;;;;
0,035168861;0,031183137;0,377708793;0,255720586;1,009402633;0,508914173;1,326459646;0,067565444;;;;;;;
0,036284504;0,032523841;0,368743867;0,250718176;0,985083342;0,498070747;1,334897041;0,066882583;;;;;;;
0,037092724;0,033626944;0,359752387;0,24582614;0,960253894;0,487012059;1,340814233;0,063810519;;;;;;;
0,038579599;0,034983955;0,350858867;0,241252154;0,936307132;0,476183087;1,343286753;0,062668527;;;;;;;
0,039551207;0,036301341;0,342083812;0,23646982;0,911976695;0,465177745;1,342730641;0,059053681;;;;;;;
0,040029579;0,037536927;0,333299577;0,231903017;0,888218164;0,454285353;1,338901997;0,058262945;;;;;;;
0,041052529;0,038827784;0,324649125;0,227518231;0,864877641;0,44352901;1,332024097;0,057841167;;;;;;;
0,042573714;0,040367942;0,316173583;0,223459974;0,842143297;0,43315959;1,322148204;0,055117903;;;;;;;
0,043436409;0,041653521;0,308033556;0,219375521;0,820018768;0,422853798;1,309493065;0,054229775;;;;;;;
0,044696433;0,043436136;0,29987371;0,215505511;0,797888219;0,412615806;1,293909192;0,050618477;;;;;;;
